time,open,high,low,close,volume,adjusted close,open_y,high_y,low_y,close_y,volume_y
11/23/2021 12:00,166.96,166.96,166.53,166.6029,1106492,166.6029,75.08243212,75.17885235,74.8606656,75.12582123,305154
11/23/2021 13:00,166.6,166.925,166.55,166.75,580887,166.75,75.12582123,75.15956831,74.89441268,74.92815976,244225
11/23/2021 14:00,166.77,167.23,166.53,167.21,1054887,167.21,74.93298077,75.23188348,74.91851773,75.1981364,265335
11/23/2021 15:00,167.21,167.3249,167.1086,167.12,589980,167.12,75.1981364,75.36205079,75.14028426,75.28973561,231546
11/23/2021 16:00,167.12,167.48,167.07,167.31,1211971,167.31,75.30419865,75.37651382,75.13064224,75.13064224,610459
11/23/2021 17:00,167.3,167.37,167.25,167.28,36260,167.28,75.14028426,75.14028426,75.14028426,75.14028426,36741
11/23/2021 18:00,167.2999,167.2999,167.2999,167.2999,500,167.2999,75.50668113,75.50668113,75.50668113,75.50668113,100
11/23/2021 19:00,167.3,167.47,167.16,167.32,1393,167.32,,,,,
11/23/2021 20:00,167.46,167.5,167.33,167.37,2075,167.37,,,,,
11/24/2021 05:00,167.46,167.62,167.39,167.6,110025,167.6,,,,,
11/24/2021 06:00,167.3,167.38,167.28,167.34,1070,167.34,,,,,
11/24/2021 07:00,166.87,167.11,166.87,167.11,700,167.11,,,,,
11/24/2021 08:00,167.02,167.03,166.79,166.84,5190,166.84,,,,,
11/24/2021 09:00,167.07,167.07,166.49,166.7,232094,166.7,,,,,
11/24/2021 10:00,166.85,166.85,166.19,166.58,917298,166.58,75.27527258,75.36205079,74.80281346,74.91369672,249253
11/24/2021 11:00,166.57,166.875,166.32,166.79,861397,166.79,74.90887571,75.05350605,74.60033098,74.84138155,240828
11/24/2021 12:00,166.81,167.44,166.69,167.21,902507,167.21,74.82209751,75.04386403,74.78352941,74.85584459,208621
11/24/2021 13:00,167.21,167.21,166.805,166.87,435386,166.87,74.85584459,75.00047493,74.79317144,74.9474438,142236
11/24/2021 14:00,166.869,166.91,166.7,166.75,604585,166.75,74.9474438,74.95226481,74.71603525,74.82209751,138331
11/24/2021 15:00,166.76,166.89,166.58,166.8,568426,166.8,74.82209751,74.95708583,74.75460335,74.89923369,151255
11/24/2021 16:00,166.8,167.15,166.78,167.13,549577,167.13,74.89923369,75.10171617,74.88959167,74.97636987,437526
11/24/2021 17:00,167.13,167.25,167.13,167.23,11239,167.23,74.97636987,74.97636987,74.97636987,74.97636987,23059
11/24/2021 18:00,,,,,,,74.97636987,74.97636987,74.91851773,74.91851773,701
11/24/2021 19:00,167.17,167.35,166.97,167.29,21816,167.29,,,,,
11/24/2021 20:00,167.32,167.5,167.32,167.43,4640,167.43,,,,,
11/26/2021 05:00,168.38,169.08,168.38,169.08,25259,169.08,,,,,
11/26/2021 06:00,169.08,169.2,168.8,169.09,47716,169.09,,,,,
11/26/2021 07:00,169.07,169.67,169.07,169.35,118866,169.35,,,,,
11/26/2021 08:00,169.34,169.4,168.77,168.8,52315,168.8,,,,,
11/26/2021 09:00,168.7799,169.35,168.04,168.73,187236,168.73,,,,,
11/26/2021 10:00,168.71,168.94,167.78,168.08,1660313,168.08,,,,,
11/26/2021 11:00,168.08,168.48,167.99,167.99,2222119,167.99,,,,,
11/26/2021 12:00,167.98,168.17,166.37,166.815,3523863,166.815,,,,,
11/26/2021 13:00,166.8,167.25,166.65,166.85,1438724,166.85,,,,,
11/26/2021 14:00,166.85,166.89,166.85,166.85,223644,166.85,,,,,
11/26/2021 16:00,166.85,166.85,166.85,166.85,0,166.85,,,,,
11/26/2021 17:00,167,167,167,167,150,167,,,,,
11/29/2021 05:00,168.05,168.1,167.92,168.09,15044,168.09,,,,,
11/29/2021 06:00,168.07,168.07,167.72,167.84,2484,167.84,,,,,
11/29/2021 07:00,167.68,167.72,167.58,167.58,94729,167.58,,,,,
11/29/2021 08:00,167.6,167.63,167.25,167.56,249978,167.56,,,,,
11/29/2021 09:00,167.57,168.06,167,167,45849,167,,,,,
11/29/2021 10:00,167,167.255,166.76,167.095,1035985,167.095,,,,,
11/29/2021 11:00,167.09,167.24,166.83,166.9994,846752,166.9994,,,,,
11/29/2021 12:00,166.99,167.075,166.59,166.69,868508,166.69,,,,,
11/29/2021 13:00,166.68,166.87,166.56,166.7299,769863,166.7299,,,,,
11/29/2021 14:00,166.72,166.82,166.58,166.7136,557211,166.7136,,,,,
11/29/2021 15:00,166.69,166.7,166.38,166.58,508543,166.58,,,,,
11/29/2021 16:00,166.58,166.81,166.53,166.65,1443361,166.65,,,,,
11/29/2021 17:00,166.62,166.84,166.56,166.77,90878,166.77,,,,,
11/29/2021 18:00,166.5,167.16,166.5,167.16,31422,167.16,,,,,
11/29/2021 19:00,166.85,167,166.85,167,4643,167,,,,,
11/29/2021 20:00,167.08,167.08,166.78,166.78,1198,166.78,,,,,
11/30/2021 05:00,167.48,167.98,167.42,167.9,58425,167.9,,,,,
11/30/2021 06:00,167.93,167.95,167.8,167.9,2175,167.9,,,,,
11/30/2021 07:00,167.8,167.8,167.47,167.47,850,167.47,,,,,
11/30/2021 08:00,167.52,167.57,167.23,167.53,24889,167.53,,,,,
11/30/2021 09:00,167.55,168,167.25,167.76,77554,167.76,,,,,
11/30/2021 10:00,167.82,168.6,167.62,168.42,1164433,168.42,,,,,
11/30/2021 11:00,168.42,169.01,166.625,166.74,3663723,166.74,,,,,
11/30/2021 12:00,166.74,166.76,165.46,165.79,3079721,165.79,,,,,
11/30/2021 13:00,165.8,165.93,165.37,165.815,1374641,165.815,,,,,
11/30/2021 14:00,165.82,166.08,165.74,166.01,782707,166.01,,,,,
11/30/2021 15:00,166.01,166.14,165.82,165.97,591305,165.97,,,,,
11/30/2021 16:00,165.97,165.97,165.46,165.46,1531486,165.46,,,,,
11/30/2021 17:00,165.5,165.84,165.5,165.79,240777,165.79,,,,,
11/30/2021 18:00,165.99,165.99,165.99,165.99,343,165.99,,,,,
11/30/2021 19:00,165.78,166.02,165.59,165.59,12992,165.59,,,,,
11/30/2021 20:00,165.75,166.1,165.75,166.1,2551,166.1,,,,,
12/1/2021 05:00,166.24,166.62,166.23,166.62,2652,166.62,,,,,
12/1/2021 06:00,166.53,166.99,166.53,166.98,53416,166.98,,,,,
12/1/2021 07:00,166.83,167.12,166.8,166.8,7006,166.8,,,,,
12/1/2021 08:00,166.8,167.1,166.8,166.87,74373,166.87,,,,,
12/1/2021 09:00,167.05,167.31,166.6,167.11,84846,167.11,,,,,
12/1/2021 10:00,167.12,167.25,166.62,167.1,869393,167.1,,,,,
12/1/2021 11:00,167.12,167.47,166.71,166.9,981586,166.9,,,,,
12/1/2021 12:00,166.9,167.07,166.45,166.89,949488,166.89,,,,,
12/1/2021 13:00,166.88,166.895,166.525,166.71,562371,166.71,,,,,
12/1/2021 14:00,166.7,166.7,166.395,166.59,1201421,166.59,,,,,
12/1/2021 15:00,166.59,166.61,166.24,166.53,715287,166.53,,,,,
12/1/2021 16:00,166.51,166.52,166.06,166.16,1883387,166.16,,,,,
12/1/2021 17:00,166.16,166.59,166.16,166.47,42623,166.47,,,,,
12/1/2021 18:00,166.37,166.37,166.37,166.37,1151,166.37,,,,,
12/1/2021 19:00,166.42,166.62,166.4,166.62,5654,166.62,,,,,
12/1/2021 20:00,166.41,166.45,166.31,166.44,13721,166.44,,,,,
12/2/2021 05:00,165.44,165.59,165.4,165.55,5877,165.55,,,,,
12/2/2021 06:00,165.9,165.9,165.9,165.9,192,165.9,,,,,
12/2/2021 07:00,166.06,166.25,166,166.07,4270,166.07,,,,,
12/2/2021 08:00,166.09,166.4,166.08,166.29,69719,166.29,,,,,
12/2/2021 09:00,166.13,166.37,165.75,165.87,33701,165.87,,,,,
12/2/2021 10:00,165.92,166.17,164.76,164.89,2198509,164.89,,,,,
12/2/2021 11:00,164.88,165.66,164.81,165.13,1704445,165.13,,,,,
12/2/2021 12:00,165.14,165.31,164.92,165.09,1152189,165.09,,,,,
12/2/2021 13:00,165.08,165.11,164.67,164.77,1154224,164.77,,,,,
12/2/2021 14:00,164.76,164.89,164.63,164.86,916292,164.86,,,,,
12/2/2021 15:00,164.86,165.09,164.86,165.08,597333,165.08,,,,,
12/2/2021 16:00,165.08,165.34,165.04,165.2,1032083,165.2,,,,,
12/2/2021 17:00,165.22,165.3,165.22,165.23,36369,165.23,,,,,
12/2/2021 19:00,165.3,165.44,165.3,165.33,11632,165.33,,,,,
12/2/2021 20:00,165.25,165.56,165.23,165.56,6996,165.56,,,,,
12/3/2021 05:00,165.26,165.26,165.2,165.2,300,165.2,,,,,
12/3/2021 06:00,165.24,165.62,165.24,165.54,3218,165.54,,,,,
12/3/2021 07:00,165.63,165.63,165.63,165.63,200,165.63,,,,,
12/3/2021 08:00,165.6,165.76,165.6,165.74,5602,165.74,,,,,
12/3/2021 09:00,165.6699,166.41,165.1,165.42,68320,165.42,,,,,
12/3/2021 10:00,165.35,165.81,165.15,165.49,904489,165.49,,,,,
12/3/2021 11:00,165.48,165.66,165,165.47,1688987,165.47,,,,,
12/3/2021 12:00,165.46,166.41,165.37,166.41,1669671,166.41,,,,,
12/3/2021 13:00,166.42,166.57,166.25,166.39,1499473,166.39,,,,,
12/3/2021 14:00,166.39,166.785,166.29,166.7288,986786,166.7288,,,,,
12/3/2021 15:00,166.72,166.76,166.475,166.7,708676,166.7,,,,,
12/3/2021 16:00,166.7,166.93,166.55,166.62,1512201,166.62,,,,,
12/3/2021 17:00,166.63,166.8,166.55,166.69,133139,166.69,,,,,
12/3/2021 18:00,166.76,166.76,166.7599,166.7599,376,166.7599,,,,,
12/3/2021 19:00,166.88,166.88,166.88,166.88,319,166.88,,,,,
12/3/2021 20:00,166.88,166.88,166.88,166.88,900,166.88,,,,,
12/6/2021 05:00,166.44,166.47,166.18,166.18,5101,166.18,,,,,
12/6/2021 06:00,166.37,166.47,166.36,166.47,1000,166.47,,,,,
12/6/2021 07:00,166.49,166.49,166.3,166.3,50454,166.3,,,,,
12/6/2021 08:00,166.35,166.42,166.05,166.39,12210,166.39,,,,,
12/6/2021 09:00,166.21,166.54,166,166.33,58458,166.33,,,,,
12/6/2021 10:00,166.26,166.35,165.93,166.13,600328,166.13,,,,,
12/6/2021 11:00,166.14,166.475,166.09,166.155,898286,166.155,,,,,
12/6/2021 12:00,166.18,166.78,166.12,166.75,610397,166.75,,,,,
12/6/2021 13:00,166.76,166.8,166.295,166.419,717748,166.419,,,,,
12/6/2021 14:00,166.41,166.44,166.13,166.22,590402,166.22,,,,,
12/6/2021 15:00,166.21,166.36,166.13,166.179,377030,166.179,,,,,
12/6/2021 16:00,166.17,166.3,166.145,166.23,710391,166.23,,,,,
12/6/2021 17:00,166.22,166.22,166.17,166.19,31738,166.19,,,,,
12/6/2021 18:00,166.22,166.22,166.22,166.22,105,166.22,,,,,
12/6/2021 19:00,166.29,166.32,166.27,166.32,850,166.32,,,,,
12/6/2021 20:00,166.44,166.45,166.3,166.3,1076,166.3,,,,,
12/7/2021 05:00,166.35,166.45,166.18,166.45,2564,166.45,,,,,
12/7/2021 06:00,166.41,166.41,166.2,166.33,1564,166.33,,,,,
12/7/2021 07:00,166.37,166.47,166.35,166.46,1901,166.46,,,,,
12/7/2021 08:00,166.52,166.74,166.52,166.66,6872,166.66,,,,,
12/7/2021 09:00,166.6001,166.7,165.6,165.89,90587,165.89,,,,,
12/7/2021 10:00,165.9,166.49,165.77,166.3,676565,166.3,,,,,
12/7/2021 11:00,166.3,166.72,166.22,166.5604,797358,166.5604,,,,,
12/7/2021 12:00,166.565,167.08,166.515,166.885,836810,166.885,,,,,
12/7/2021 13:00,166.88,166.965,166.51,166.61,512870,166.61,,,,,
12/7/2021 14:00,166.61,166.74,166.53,166.7084,312862,166.7084,,,,,
12/7/2021 15:00,166.71,166.85,166.67,166.79,370895,166.79,,,,,
12/7/2021 16:00,166.79,166.92,166.77,166.81,797095,166.81,,,,,
12/7/2021 17:00,166.81,166.81,166.7,166.72,14356,166.72,,,,,
12/7/2021 18:00,166.72,166.87,166.72,166.83,852,166.83,,,,,
12/7/2021 19:00,166.79,166.79,166.72,166.79,1558,166.79,,,,,
12/7/2021 20:00,166.74,166.83,166.74,166.76,1441,166.76,,,,,
12/8/2021 05:00,167.12,167.31,167.12,167.31,608,167.31,,,,,
12/8/2021 06:00,167.21,167.52,167.21,167.52,514,167.52,,,,,
12/8/2021 07:00,167.25,167.25,166.69,166.94,5810,166.94,,,,,
12/8/2021 08:00,166.87,166.9,166.67,166.75,3871,166.75,,,,,
12/8/2021 09:00,166.92,167.24,166.5,166.77,16284,166.77,,,,,
12/8/2021 10:00,166.56,166.63,166.28,166.46,443234,166.46,,,,,
12/8/2021 11:00,166.44,166.79,166.34,166.55,684820,166.55,,,,,
12/8/2021 12:00,166.52,166.62,166.42,166.56,386196,166.56,,,,,
12/8/2021 13:00,166.56,166.79,166.55,166.74,614541,166.74,,,,,
12/8/2021 14:00,166.74,166.83,166.66,166.75,624707,166.75,,,,,
12/8/2021 15:00,166.755,166.92,166.7399,166.85,563680,166.85,,,,,
12/8/2021 16:00,166.86,166.96,166.825,166.85,660837,166.85,,,,,
12/8/2021 17:00,166.87,166.9,166.55,166.56,81572,166.56,,,,,
12/8/2021 19:00,166.6,166.77,166.6,166.7,2233,166.7,,,,,
12/8/2021 20:00,166.69,166.8,166.67,166.79,2400,166.79,,,,,
12/9/2021 05:00,166.79,166.84,166.65,166.65,2600,166.65,,,,,
12/9/2021 06:00,166.46,166.68,166.46,166.68,700,166.68,,,,,
12/9/2021 07:00,166.57,166.63,166.26,166.3,7863,166.3,,,,,
12/9/2021 08:00,166.23,166.23,165.88,166,12283,166,,,,,
12/9/2021 09:00,166.25,166.5596,165.77,166.1,34391,166.1,,,,,
12/9/2021 10:00,166.06,166.61,165.75,166.03,736272,166.03,,,,,
12/9/2021 11:00,166.02,166.37,165.84,166.29,715785,166.29,,,,,
12/9/2021 12:00,166.29,166.395,165.83,165.94,1097924,165.94,,,,,
12/9/2021 13:00,165.96,166.18,165.955,166.02,379438,166.02,,,,,
12/9/2021 14:00,166.03,166.14,165.65,166.14,661935,166.14,,,,,
12/9/2021 15:00,166.13,166.13,165.84,165.94,332775,165.94,,,,,
12/9/2021 16:00,165.94,166,165.85,165.88,615196,165.88,,,,,
12/9/2021 17:00,165.83,165.934,165.8,165.85,112136,165.85,,,,,
12/9/2021 18:00,165.8,165.85,165.8,165.85,300,165.85,,,,,
12/9/2021 19:00,165.97,165.97,165.94,165.96,693,165.96,,,,,
12/9/2021 20:00,165.98,166.11,165.98,166.03,2036,166.03,,,,,
12/10/2021 05:00,165.53,165.58,165.37,165.45,3578,165.45,,,,,
12/10/2021 07:00,165.45,165.58,165.45,165.58,750,165.58,,,,,
12/10/2021 08:00,165.58,165.69,165.56,165.64,17640,165.64,,,,,
12/10/2021 09:00,165.71,166.78,165.4596,166.74,143840,166.74,,,,,
12/10/2021 10:00,166.72,167.21,166.18,166.33,951357,166.33,,,,,
12/10/2021 11:00,166.33,166.74,166.21,166.61,1248523,166.61,,,,,
12/10/2021 12:00,166.613,166.915,166.605,166.74,948906,166.74,,,,,
12/10/2021 13:00,166.74,166.79,166.58,166.64,551229,166.64,,,,,
12/10/2021 14:00,166.63,166.785,166.56,166.58,592463,166.58,,,,,
12/10/2021 15:00,166.6,166.61,166.425,166.52,521192,166.52,,,,,
12/10/2021 16:00,166.52,166.62,166.48,166.59,909024,166.59,,,,,
12/10/2021 17:00,166.58,166.59,166.51,166.54,79320,166.54,,,,,
12/10/2021 18:00,166.58,166.58,166.58,166.58,557,166.58,,,,,
12/10/2021 19:00,166.88,166.88,166.88,166.88,100,166.88,,,,,
12/10/2021 20:00,166.58,166.58,166.58,166.58,295,166.58,,,,,
12/13/2021 05:00,167,167,166.72,166.72,753,166.72,,,,,
12/13/2021 06:00,166.82,166.96,166.8,166.96,4808,166.96,,,,,
12/13/2021 07:00,166.98,167.05,166.93,167.03,51029,167.03,,,,,
12/13/2021 08:00,167.04,167.36,166.98,167.23,10817,167.23,,,,,
12/13/2021 09:00,167.1425,167.2801,166.51,166.53,39817,166.53,,,,,
12/13/2021 10:00,166.6,167.16,166.49,167.13,746372,167.13,,,,,
12/13/2021 11:00,167.14,167.18,166.8,166.93,786809,166.93,,,,,
12/13/2021 12:00,166.94,167.255,166.8631,167.11,1523280,167.11,,,,,
12/13/2021 13:00,167.12,167.13,166.985,167.09,516582,167.09,,,,,
12/13/2021 14:00,167.09,167.12,166.88,166.99,570833,166.99,,,,,
12/13/2021 15:00,166.98,167.08,166.915,167.04,260652,167.04,,,,,
